Date,南亞科,智原,世芯-KY,創意,華新科,友達,南電,華通,技嘉,緯創,潤泰新,金寶,華碩,士電,和潤企業,遠傳
2023-04-25 00:00:00+08:00,61.58929443359375,166.40322875976562,1129.04150390625,924.4905395507812,90.96025085449219,17.246078491210938,242.17718505859375,41.54999923706055,129.0,42.618438720703125,38.319007873535156,12.783842086791992,264.656005859375,92.84307861328125,113.05765533447266,74.69491577148438
2023-04-26 00:00:00+08:00,62.17123794555664,154.2392578125,1163.8577880859375,948.2716674804688,91.64269256591797,17.19803810119629,252.5025634765625,42.29999923706055,129.0,43.88626480102539,38.589622497558594,12.783842086791992,262.2760009765625,96.7938461303711,116.60456085205078,75.36524963378906
2023-04-27 00:00:00+08:00,63.626102447509766,155.6989288330078,1208.62158203125,961.153076171875,91.3502197265625,17.005882263183594,250.1558837890625,43.099998474121094,131.5,44.861515045166016,38.427249908447266,12.8328218460083,266.55999755859375,95.90492248535156,116.16120147705078,74.69491577148438
2023-04-28 00:00:00+08:00,65.7599105834961,159.59140014648438,1178.779052734375,986.9159545898438,93.0075912475586,16.33333396911621,257.6652526855469,43.099998474121094,131.0,45.34914016723633,38.751991271972656,12.88180160522461,268.94000244140625,99.26307678222656,117.49128723144531,75.55677795410156
2023-05-02 00:00:00+08:00,64.69300079345703,165.43011474609375,1253.3853759765625,1085.0130615234375,93.49504852294922,16.62156867980957,260.48126220703125,43.29999923706055,135.0,48.86003875732422,38.427249908447266,12.930782318115234,272.2720031738281,109.13999938964844,120.1514663696289,73.44999694824219
2023-05-03 00:00:00+08:00,65.08097076416016,161.5376434326172,1223.5428466796875,1070.1497802734375,92.22764587402344,16.381372451782227,259.0732727050781,43.25,132.5,47.738502502441406,38.26488494873047,12.8328218460083,273.70001220703125,112.10307312011719,119.26473999023438,74.31185913085938
2023-05-04 00:00:00+08:00,65.95388793945312,164.45700073242188,1218.569091796875,1094.921875,91.93517303466797,16.429412841796875,255.7879180908203,43.349998474121094,136.0,48.32365036010742,38.751991271972656,12.8328218460083,277.9840087890625,112.596923828125,117.93464660644531,75.55677795410156
2023-05-05 00:00:00+08:00,64.69300079345703,165.43011474609375,1253.3853759765625,1129.6026611328125,99.44207763671875,16.62156867980957,260.48126220703125,43.150001525878906,137.0,47.933555603027344,38.53549575805664,12.88180160522461,275.1280212402344,111.6092300415039,114.83110809326172,75.1737289428711
2023-05-08 00:00:00+08:00,62.850181579589844,163.97042846679688,1253.3853759765625,1114.7393798828125,97.29724884033203,16.573530197143555,263.7666015625,43.75,135.0,48.66499328613281,38.751991271972656,12.8328218460083,274.6520080566406,119.5107650756836,113.94438171386719,75.36524963378906
2023-05-09 00:00:00+08:00,62.7531852722168,163.48387145996094,1268.306640625,1129.6026611328125,96.5173110961914,17.005882263183594,269.86798095703125,43.75,139.0,48.762516021728516,38.69786834716797,12.783842086791992,277.9840087890625,118.52307891845703,115.27446746826172,74.88643646240234
2023-05-10 00:00:00+08:00,62.268226623535156,164.9435577392578,1337.9390869140625,1119.69384765625,96.2248306274414,16.861764907836914,265.17462158203125,43.20000076293945,139.5,46.90953826904297,38.427249908447266,12.734861373901367,277.50799560546875,114.57230377197266,115.27446746826172,74.98220825195312
2023-05-11 00:00:00+08:00,61.39531326293945,160.0779571533203,1298.1490478515625,1094.921875,94.177490234375,16.429412841796875,260.9505920410156,42.400001525878906,141.0,46.32439041137695,38.102516174316406,12.440979957580566,272.7480163574219,109.63384246826172,110.84083557128906,74.59915161132812
2023-05-12 00:00:00+08:00,61.88026809692383,162.51075744628906,1347.8865966796875,1159.3289794921875,93.30006408691406,16.285295486450195,269.3986511230469,42.04999923706055,139.0,48.86003875732422,37.723655700683594,12.5389404296875,267.9880065917969,115.55999755859375,111.2842025756836,74.59915161132812
2023-05-15 00:00:00+08:00,61.97726058959961,160.0779571533203,1342.912841796875,1119.69384765625,92.8125991821289,16.381372451782227,263.7666015625,42.20000076293945,135.5,47.29964065551758,37.34479522705078,12.5389404296875,288.9320068359375,112.596923828125,110.84083557128906,74.31185913085938
2023-05-16 00:00:00+08:00,62.656192779541016,157.64517211914062,1402.597900390625,1119.69384765625,95.73736572265625,16.381372451782227,270.806640625,41.79999923706055,144.5,47.250877380371094,37.99427032470703,12.783842086791992,288.9320068359375,113.5846176147461,111.72756958007812,74.79067993164062
2023-05-17 00:00:00+08:00,65.95388793945312,162.02420043945312,1437.4141845703125,1154.3746337890625,95.93235778808594,16.573530197143555,268.9293212890625,41.70000076293945,149.5,48.22612762451172,38.26488494873047,12.930782318115234,288.9320068359375,116.54769134521484,113.94438171386719,75.36524963378906
2023-05-18 00:00:00+08:00,67.21477508544922,162.997314453125,1432.4404296875,1154.3746337890625,97.49223327636719,16.573530197143555,267.9906311035156,42.099998474121094,159.5,49.34766387939453,38.373130798339844,12.930782318115234,293.21600341796875,127.9061508178711,114.83110809326172,75.46102142333984
2023-05-19 00:00:00+08:00,67.79672241210938,167.3763427734375,1556.7841796875,1268.32568359375,96.12733459472656,16.717647552490234,275.0306701660156,43.5,164.0,51.88331604003906,38.48137664794922,12.97976303100586,293.21600341796875,132.84461975097656,112.17092895507812,75.55677795410156
